TEXT,start,end,sentiment,confidence
Laurel.,1437,2237,NEUTRAL,0.718990684
"Despite the chaos and confusion in our world, I see winds of hope blowing around the globe.",4237,11457,POSITIVE,0.778505623
It is a historic meeting.,11547,13617,POSITIVE,0.738308966
Kim Jongun has become the first North Korean leader to visit the South Sea since the Korean War.,13677,20107,NEUTRAL,0.549065828
"Families split either side of the Ethiopian Eritrean border, finally able to speak to each other for the first time in decades.",20185,27437,NEUTRAL,0.600580394
Farright candidate Zaya Bolsonaro has won Brazil's presidential race.,28237,33552,NEUTRAL,0.631053329
Zuma will step down as South Africa's president.,33657,36697,NEUTRAL,0.767852545
Does this house want to deliver brexit?,36805,40487,NEUTRAL,0.583879113
The Irish people have voted in favor of scrapping a constitutional ban on abortion.,43537,48612,NEUTRAL,0.751503527
This is about women taking their rightful place in Irish society.,48687,52332,NEUTRAL,0.821338177
"Finally, a Chinese researcher claimed says help make the world's first births of genetically altered humans.",52422,58647,NEUTRAL,0.819054842
It's very disturbing.,58692,59787,NEGATIVE,0.929419219
It's inappropriate.,59862,60777,NEGATIVE,0.879816234
The data analysis firm linked to the Trump campaign retained the personal information of more than 50 million users.,60807,67272,NEUTRAL,0.786278188
"We didn't take a broad enough view of our responsibility, and that was a big mistake.",67317,72287,NEGATIVE,0.902547717
17 people killed.,78187,79962,NEGATIVE,0.866980553
Connection with a mass shooting at a Florida synagogue in Pittsburgh.,80037,83322,NEGATIVE,0.788992822
The gun nights and fire during morning.,83367,85282,NEUTRAL,0.755631447
And I don't want prayers.,85360,86862,NEGATIVE,0.760682881
I don't want thoughts.,87012,88662,NEGATIVE,0.88169384
I want gun control.,88812,90277,NEUTRAL,0.573332667
And I hope to God nobody else sends me any more prayers.,90370,93837,NEUTRAL,0.559292674
Thousands of students are expected to walk out of their schools.,93912,97647,NEGATIVE,0.718693078
A mass protest across the nation against gun violence.,97692,101742,NEUTRAL,0.723618925
A new report by the UN.,101877,103507,NEUTRAL,0.888493955
Carries a stark warning millions more people will die from extreme heat by the year 2040.,103585,109267,NEGATIVE,0.928992927
India's Kerala state was hit by the worst flooding it's seen in a century.,109390,113367,NEGATIVE,0.937177539
Powerful seven five magnitude earthquake struck the island of Sulawesi Friday.,113427,118332,NEUTRAL,0.769233763
Several separate enormous wildfires are taking a terrible toll.,118422,122472,NEGATIVE,0.930053353
Stuff that we lost isn't as important as the fact that our families all want apart.,122517,126732,NEGATIVE,0.929162562
Yemen's humanitarian crisis is escalating to devastating levels.,126822,130977,NEGATIVE,0.946894348
The United Nations warns up to 13 million civilians are at risk of starvation.,131007,135852,NEGATIVE,0.895098209
The administration's new crackdown on illegal immigration at the border.,136032,140337,NEUTRAL,0.810797334
"Over a six week period, nearly 20 kids were separated from nearly as many adults.",140487,145797,NEGATIVE,0.491463393
"You know, they have a word.",145842,147112,NEUTRAL,0.666424513
It sort of became oldfashioned.,147250,149262,NEGATIVE,0.655930042
It's called a nationalist.,149337,151257,NEUTRAL,0.745118022
You know what I am?,151347,152242,NEUTRAL,0.767848134
"I'm a nationalist, okay?",152290,153937,NEUTRAL,0.772589684
"In Paris, violent clash is erupted between police and protesters for the third straight weekend.",154075,159387,NEGATIVE,0.893542349
We pay so many taxes.,159462,161622,NEGATIVE,0.722931862
It's impossible now to have a good life for us.,161742,166762,NEGATIVE,0.564901829
"This is Jaman Hashogji, captured on closed circuit cameras stepping into what Turks authorities believe was a death trap.",166900,173487,NEGATIVE,0.525988638
I am here today not because I want to be.,173562,176272,NEUTRAL,0.568210125
I am terrified.,176455,177747,NEGATIVE,0.88972789
Look at me when I'm talking to you.,177867,179377,NEUTRAL,0.815672696
